barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510135_1_2,472,600,27.69,1002,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/738
252491510787_1_3,146518596,600,30.05,127687524,"Diagonal Band, Horizontal Division, Left",,H0351.1012,/api/v2/well_known_file_download/146535095
252491510416_1_2,1094,600,25.65,4522,"frontal pole, Left, inferior aspect",,H0351.2002,/api/v2/well_known_file_download/4362
252491510642_1_4,1705,600,28.71,4913,"frontal pole, Left, inferior aspect",,H0351.2002,/api/v2/well_known_file_download/5194
252491510819_2_4,127696367,600,29.71,126435750,"IV, Left Paravermis",,H0351.1012,/api/v2/well_known_file_download/127768163
252491510458_2_1,1493,600,27.17,5093,"superior temporal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4760
252491510628_2_1,1704,600,25.44,4594,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5190
252491510677_1_1,1996,600,25.44,4594,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5828
252491510614_1_3,1635,600,26.3,4622,"middle temporal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5124
252491510655_1_4,1899,600,26.3,4622,"middle temporal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5513
252491510414_2_4,1053,600,26.82,4596,"posterior orbital gyrus, Right",,H0351.2002,/api/v2/well_known_file_download/4415
252491510413_2_3,1060,600,26.68,4517,"temporal pole, Right, inferior aspect",,H0351.2002,/api/v2/well_known_file_download/4395
252491510640_2_4,1760,600,28.35,4906,"Putamen, Left",,H0351.2002,/api/v2/well_known_file_download/5192
252491510675_2_1,2098,600,27.44,4525,"temporal pole, Right, medial aspect",,H0351.2002,/api/v2/well_known_file_download/5859
252491510645_2_4,1566,600,27.44,4525,"temporal pole, Right, medial aspect",,H0351.2002,/api/v2/well_known_file_download/5042
252491510634_1_3,1616,600,27.1,4801,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5120
252491510414_2_3,1082,600,23.33,4562,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4420
252491510821_1_4,127696284,600,29.31,126435778,"V, Left Lateral Hemisphere",,H0351.1012,/api/v2/well_known_file_download/127768187
252491510613_2_4,1560,600,23.16,4549,"Head of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5029
252491510459_2_3,1503,600,29.02,5089,"Head of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/4767
252491510700_2_1,2397,600,27.82,8416,IV,,H0351.2002,/api/v2/well_known_file_download/6293
252491510414_2_1,1051,600,26.88,4557,"Putamen, Right",,H0351.2002,/api/v2/well_known_file_download/4400
252491510855_2_2,4972,600,24.11,13706,"Medial Geniculate Complex, Left",,H0351.1009,/api/v2/well_known_file_download/10231
252491510414_1_2,1058,600,28.23,4597,"temporal pole, Left, superior aspect",,H0351.2002,/api/v2/well_known_file_download/4379
252491510828_1_2,4382,600,25.06,11052,"inferior frontal gyrus, orbital part, Left",,H0351.1009,/api/v2/well_known_file_download/9726
252491510828_1_1,4381,600,25.06,11052,"inferior frontal gyrus, orbital part, Left",,H0351.1009,/api/v2/well_known_file_download/9717
